"BM_activity","BM_rate","BM_consistency","BM_actdet_stationary","BM_actdet_walking","posture_activity","posture_rate","speech_profile_speaking","speech_profile_overlap","speech_profile_listening","speech_profile_silent","speech_profile_total_speaking","speech_profile_total_silent","speech_participation","audio_front_volume","audio_front_vol_consistency","audio_back_volume","audio_back_vol_consistency","interactions_combined_101","interactions_combined_102","interactions_combined_Average","interactions_proximity_101","interactions_proximity_102","interactions_proximity_Average","interactions_facetoface_101","interactions_facetoface_102","interactions_facetoface_Average","combined_betweenness_centrality","combined_closeness_centrality","combined_closeness_vitality","combined_cohesion","combined_degree_centrality","facetoface_betweenness_centrality","facetoface_closeness_centrality","facetoface_closeness_vitality","facetoface_cohesion","facetoface_degree_centrality","proximity_betweenness_centrality","proximity_closeness_centrality","proximity_closeness_vitality","proximity_cohesion","proximity_degree_centrality","Temp","ID","Woman","SD"
0.006209304,-5.07e-05,0.986217806,1989,20,1.629049069,-0.004543984,514.1,154,489.9,1182,668.1,1671.9,0.455792113,0.007307856,0.554203676,0.007461597,0.578167266,0,2340,1170,0,1554.950832,777.475416,0,1364.395475,682.1977375,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,29.29841962,"195",1,0
0.00401874,-7.6e-05,0.991995253,1991,17,1.246900105,0.003347163,489.9,154,514.1,1182,643.9,1696.1,0.396344639,0.011466872,0.745088142,0.008880791,0.583760945,2340,0,1170,1554.950832,0,777.475416,1364.395475,0,682.1977375,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,28.69106061,"196",1,0
0.00561605,-3.01e-06,0.988178902,2005,11,1.720918567,-0.000211,433.2,104.8,544,1258,538,1802,0.528275667,0.015132284,0.600445785,0.016212088,0.610021208,0,2340,1170,0,1271.802899,635.9014495,0,974.484723,487.2423615,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,28.08872567,"197",1,0
0.003364251,4.65e-05,0.994430829,2010,0,0.985947577,0.007321825,544,104.8,433.2,1258,648.8,1691.2,0.321296982,0.011643667,0.45926786,0.009174101,0.554391031,2340,0,1170,1271.802899,0,635.9014495,974.484723,0,487.2423615,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,28.60183823,"198",1,0
0.004734603,-4.29e-06,0.989474979,2195,19,1.597159152,0.000609,217.6,126.2,565.4,1550.8,343.8,2116.2,0.446032705,0.015487054,0.790171896,0.01288701,0.794010442,0,2460,1230,0,1589.531409,794.7657045,0,1323.399891,661.6999455,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,NA,"109",1,0
0.005058383,-5.13e-05,0.989258518,2215,0,1.81448214,0.001807858,565.4,126.2,217.6,1550.8,691.6,1768.4,0.446243718,0.008837882,0.611920937,0.008937685,0.600042956,2460,0,1230,1589.531409,0,794.7657045,1323.399891,0,661.6999455,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,NA,"110",1,1
0.006190719,-7.29e-07,0.984224072,2013,31,1.864492134,0.001360627,563,187.3,532.6,1057.1,750.3,1589.7,0.425062543,0.014728313,0.391818959,0.015699497,0.437092911,0,2340,1170,0,1392.398947,696.1994735,0,1084.667437,542.3337185,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,29.41030117,"201",1,0
0.003831792,-3.26e-05,0.99162892,2043,0,1.917310805,0.001330508,532.6,187.3,563,1057.1,719.9,1620.1,0.43775797,0.015880011,0.479012815,0.013468757,0.444216568,2340,0,1170,1392.398947,0,696.1994735,1084.667437,0,542.3337185,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,30.26262336,"202",1,0
0.006038833,2.79e-05,0.986169987,1852,16,1.738228409,-0.008303874,301.7,225.7,500.1,1132.5,527.4,1632.6,0.530434121,0.01362429,0.520201863,0.014544961,0.552573809,0,2160,1080,0,953.945628,476.972814,0,953.206131,476.6030655,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,27.70123259,"203",1,1
0.004080852,-0.000107,0.991117984,1837,1,1.546233842,-0.002551094,500.1,225.7,301.7,1132.5,725.8,1434.2,0.316788101,0.013081222,0.568656657,0.010540848,0.495560671,2160,0,1080,953.945628,0,476.972814,953.206131,0,476.6030655,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,29.19615792,"204",1,0
